idtag,epcRowId,prevsoc,soc,voltage,amper,energy,prevenergy,diffInSec,accDiff,avgDiffInSec,accAvg,offset,scaled
00:B0:52:FF:FF:02,326,32,33,644,152.6,1752.39,0,64,64,64,64,0,64
00:B0:52:FF:FF:02,326,33,34,645.9,153.2,5069.48,1752.39,120,184,120,184,0,184
00:B0:52:FF:FF:02,326,34,35,646.3,152.2,8359.28,5069.48,120,304,120,304,0,304
00:B0:52:FF:FF:02,326,35,36,646.7,152.4,12497.21,8359.28,150,454,180,484,0,454
00:B0:52:FF:FF:02,326,36,37,646.9,152.8,15815.72,12497.21,120,574,201,685,0,574
00:B0:52:FF:FF:02,326,37,38,646.9,152.6,19930.68,15815.72,150,724,200,885,0,724
00:B0:52:FF:FF:02,326,38,39,646.9,153,23251,19930.68,120,844,190,1075,0,844
00:B0:52:FF:FF:02,326,39,40,646.9,153,26572.03,23251,120,964,200,1275,0,964
00:B0:52:FF:FF:02,326,40,41,646.7,153,30688.48,26572.03,150,1114,200,1475,0,1114
00:B0:52:FF:FF:02,326,41,42,646.7,153,34010.52,30688.48,120,1234,200,1675,0,1234
00:B0:52:FF:FF:02,326,42,43,646.9,153,38157.35,34010.52,150,1384,190,1865,0,1384
00:B0:52:FF:FF:02,326,43,44,646.7,152.5,41453.64,38157.35,120,1504,203,2068,0,1504
00:B0:52:FF:FF:02,326,44,45,646.7,152.6,45599.68,41453.64,150,1654,208,2276,0,1654
00:B0:52:FF:FF:02,326,45,46,646.9,152.9,48923.31,45599.68,120,1774,193,2469,0,1774
00:B0:52:FF:FF:02,326,46,47,646.9,152.6,53071.3,48923.31,150,1924,210,2679,0,1924
00:B0:52:FF:FF:02,326,47,48,647.1,153,56367.82,53071.3,120,2044,200,2879,0,2044
00:B0:52:FF:FF:02,326,48,49,647.3,152.7,60519.04,56367.82,151,2195,211,3090,0,2195
00:B0:52:FF:FF:02,326,49,50,647.3,152.6,64671.1,60519.04,150,2345,218,3308,0,2345
00:B0:52:FF:FF:02,326,50,51,647.3,152.7,67969.84,64671.1,120,2465,193,3501,0,2465
00:B0:52:FF:FF:02,326,51,52,647.7,153.3,72122.61,67969.84,150,2615,210,3711,0,2615
00:B0:52:FF:FF:02,326,52,53,647.9,153,76277.3,72122.61,150,2765,208,3919,0,2765
00:B0:52:FF:FF:02,326,53,54,648.2,152.9,80434.9,76277.3,150,2915,210,4129,0,2915
00:B0:52:FF:FF:02,326,54,55,648.6,152.6,84589.64,80434.9,150,3065,208,4337,0,3065
00:B0:52:FF:FF:02,326,55,56,649.2,152.6,88709.08,84589.64,150,3215,210,4547,0,3215
00:B0:52:FF:FF:02,326,56,57,649.6,152.4,92034.31,88709.08,120,3335,193,4740,0,3335
00:B0:52:FF:FF:02,326,57,58,650.5,152.2,96187,92034.31,150,3485,208,4948,0,3485
00:B0:52:FF:FF:02,326,58,59,651.1,151.4,99489.21,96187,120,3605,203,5151,0,3605
00:B0:52:FF:FF:02,326,59,60,651.5,151.5,103635,99489.21,150,3755,210,5361,0,3755
00:B0:52:FF:FF:02,326,60,61,652.1,152,106958.9,103635,120,3875,201,5562,0,3875
00:B0:52:FF:FF:02,326,61,62,652.5,151.5,110257.1,106958.9,120,3995,203,5765,0,3995
00:B0:52:FF:FF:02,326,62,63,652.8,151.6,114410.7,110257.1,150,4145,208,5973,0,4145
00:B0:52:FF:FF:02,326,63,64,653.2,151.8,117739.5,114410.7,120,4265,203,6176,0,4265
00:B0:52:FF:FF:02,326,64,65,653.6,151.6,121869.7,117739.5,150,4415,210,6386,0,4415
00:B0:52:FF:FF:02,326,65,66,653.4,151,125196.4,121869.7,120,4535,190,6576,0,4535
00:B0:52:FF:FF:02,326,66,67,653.8,151.5,129343.3,125196.4,150,4685,200,6776,0,4685
00:B0:52:FF:FF:02,326,67,68,654.2,151.2,132637.7,129343.3,120,4805,180,6956,0,4805
00:B0:52:FF:FF:02,326,68,69,654.2,150.7,136784.7,132637.7,150,4955,180,7136,0,4955
00:B0:52:FF:FF:02,326,69,70,654.4,150.8,140107.8,136784.7,120,5075,163,7299,0,5075
00:B0:52:FF:FF:02,326,70,71,654.4,151.1,143405.2,140107.8,120,5195,180,7479,0,5195
00:B0:52:FF:FF:02,326,71,72,654.4,151.2,147552.2,143405.2,150,5345,163,7642,0,5345
00:B0:52:FF:FF:02,326,72,73,654.4,150.8,150876,147552.2,120,5465,173,7815,0,5465
00:B0:52:FF:FF:02,326,73,74,654.6,151,154174.5,150876,120,5585,137,7952,0,5585
00:B0:52:FF:FF:02,326,74,75,654.6,151.2,158323.9,154174.5,151,5736,153,8105,0,5736
00:B0:52:FF:FF:02,326,75,76,654.6,150.7,161649.1,158323.9,120,5856,158,8263,0,5856
00:B0:52:FF:FF:02,326,76,77,654.6,151,164946.7,161649.1,120,5976,145,8408,0,5976
00:B0:52:FF:FF:02,326,77,78,654.6,150.6,169096.1,164946.7,150,6126,173,8581,0,6126
00:B0:52:FF:FF:02,326,78,79,654.8,151.1,172421.7,169096.1,120,6246,137,8718,0,6246
00:B0:52:FF:FF:02,326,79,80,655,150.8,176573.5,172421.7,150,6396,163,8881,0,6396
00:B0:52:FF:FF:02,326,80,81,655,150.7,179872.8,176573.5,120,6516,147,9028,0,6516
00:B0:52:FF:FF:02,326,81,82,655,151.2,183199.2,179872.8,120,6636,145,9173,0,6636
00:B0:52:FF:FF:02,326,82,83,655.3,151.2,187350.4,183199.2,150,6786,128,9301,0,6786
00:B0:52:FF:FF:02,326,83,84,655.3,151.4,190652.2,187350.4,120,6906,128,9429,0,6906
00:B0:52:FF:FF:02,326,84,85,655.5,151.1,194807.8,190652.2,150,7056,135,9564,0,7056
00:B0:52:FF:FF:02,326,85,86,655.7,150.7,198139,194807.8,120,7176,130,9694,0,7176
00:B0:52:FF:FF:02,326,86,87,655.7,150.8,202294.3,198139,150,7326,137,9831,0,7326
00:B0:52:FF:FF:02,326,87,88,655.9,151.5,206422.5,202294.3,150,7476,125,9956,0,7476
00:B0:52:FF:FF:02,326,88,89,656.1,151.2,209753.6,206422.5,120,7596,148,10104,0,7596
00:B0:52:FF:FF:02,326,89,90,656.3,151.2,213913.4,209753.6,150,7746,145,10249,0,7746
00:B0:52:FF:FF:02,326,90,91,656.3,150.5,217236.1,213913.4,120,7866,138,10387,0,7866
00:B0:52:FF:FF:02,326,91,92,656.5,150.4,221354.2,217236.1,150,8016,145,10532,0,8016
00:B0:52:FF:FF:02,326,92,93,656.7,150.7,225500.2,221354.2,150,8166,155,10687,0,8166
00:B0:52:FF:FF:02,326,93,94,656.9,150.4,228823.8,225500.2,120,8286,148,10835,0,8286
00:B0:52:FF:FF:02,326,94,95,657.3,150.6,232971.9,228823.8,150,8436,150,10985,0,8436
00:B0:52:FF:FF:02,326,95,96,657.8,150.5,238773.4,232971.9,211,8647,211,11196,0,8647
00:B0:52:FF:FF:02,326,96,97,658.8,149.8,247902.1,238773.4,331,8978,331,11527,0,8978
00:B0:52:FF:FF:02,326,97,98,660.9,150.2,256171,247902.1,301,9279,301,11828,0,9279
00:B0:52:FF:FF:02,326,98,99,663.2,149.1,261972.3,256171,211,9490,211,12039,0,9490
00:B0:52:FF:FF:02,337,34,35,641.6,124.8,2640.94,0.11,121,121,120,304,183,304
00:B0:52:FF:FF:02,337,35,36,641.6,123.7,7310.32,2640.94,211,332,180,484,183,515
