idtag,epcRowId,prevsoc,soc,voltage,amper,energy,prevenergy,diffInSec,accDiff,avgDiffInSec,accAvg,offset,levelCode,low,high,insertTime,scaled,amperLevel
00:B0:52:FF:FF:02,326,32,33,644,152.6,1752.39,0,64,64,64,64,0,1,140,170,19:01.1,64,1
00:B0:52:FF:FF:02,326,33,34,645.9,153.2,5069.48,1752.39,120,184,100,164,0,1,140,170,19:01.1,184,1
00:B0:52:FF:FF:02,326,34,35,646.3,152.2,8359.28,5069.48,120,304,120,284,0,1,140,170,19:01.1,304,1
00:B0:52:FF:FF:02,326,35,36,646.7,152.4,12497.21,8359.28,150,454,150,434,0,1,140,170,19:01.1,454,1
00:B0:52:FF:FF:02,326,36,37,646.9,152.8,15815.72,12497.21,120,574,143,577,0,1,140,170,19:01.1,574,1
00:B0:52:FF:FF:02,326,37,38,646.9,152.6,19930.68,15815.72,150,724,192,769,0,1,140,170,19:01.1,724,1
00:B0:52:FF:FF:02,326,38,39,646.9,153,23251,19930.68,120,844,180,949,0,1,140,170,19:01.1,844,1
00:B0:52:FF:FF:02,326,39,40,646.9,153,26572.03,23251,120,964,192,1141,0,1,140,170,19:01.1,964,1
00:B0:52:FF:FF:02,326,40,41,646.7,153,30688.48,26572.03,150,1114,186,1327,0,1,140,170,19:01.1,1114,1
00:B0:52:FF:FF:02,326,41,42,646.7,153,34010.52,30688.48,120,1234,189,1516,0,1,140,170,19:01.1,1234,1
00:B0:52:FF:FF:02,326,42,43,646.9,153,38157.35,34010.52,150,1384,187,1703,0,1,140,170,19:01.1,1384,1
00:B0:52:FF:FF:02,326,43,44,646.7,152.5,41453.64,38157.35,120,1504,190,1893,0,1,140,170,19:01.1,1504,1
00:B0:52:FF:FF:02,326,44,45,646.7,152.6,45599.68,41453.64,150,1654,194,2087,0,1,140,170,19:01.1,1654,1
00:B0:52:FF:FF:02,326,45,46,646.9,152.9,48923.31,45599.68,120,1774,184,2271,0,1,140,170,19:01.1,1774,1
00:B0:52:FF:FF:02,326,46,47,646.9,152.6,53071.3,48923.31,150,1924,195,2466,0,1,140,170,19:01.1,1924,1
00:B0:52:FF:FF:02,326,47,48,647.1,153,56367.82,53071.3,120,2044,194,2660,0,1,140,170,19:01.1,2044,1
00:B0:52:FF:FF:02,326,48,49,647.3,152.7,60519.04,56367.82,151,2195,183,2843,0,1,140,170,19:01.1,2195,1
00:B0:52:FF:FF:02,326,49,50,647.3,152.6,64671.1,60519.04,150,2345,176,3019,0,1,140,170,19:01.1,2345,1
00:B0:52:FF:FF:02,326,50,51,647.3,152.7,67969.84,64671.1,120,2465,168,3187,0,1,140,170,19:01.1,2465,1
00:B0:52:FF:FF:02,326,51,52,647.7,153.3,72122.61,67969.84,150,2615,173,3360,0,1,140,170,19:01.1,2615,1
00:B0:52:FF:FF:02,326,52,53,647.9,153,76277.3,72122.61,150,2765,179,3539,0,1,140,170,19:01.1,2765,1
00:B0:52:FF:FF:02,326,53,54,648.2,152.9,80434.9,76277.3,150,2915,176,3715,0,1,140,170,19:01.1,2915,1
00:B0:52:FF:FF:02,326,54,55,648.6,152.6,84589.64,80434.9,150,3065,168,3883,0,1,140,170,19:01.1,3065,1
00:B0:52:FF:FF:02,326,55,56,649.2,152.6,88709.08,84589.64,150,3215,176,4059,0,1,140,170,19:01.1,3215,1
00:B0:52:FF:FF:02,326,56,57,649.6,152.4,92034.31,88709.08,120,3335,168,4227,0,1,140,170,19:01.1,3335,1
00:B0:52:FF:FF:02,326,57,58,650.5,152.2,96187,92034.31,150,3485,171,4398,0,1,140,170,19:01.1,3485,1
00:B0:52:FF:FF:02,326,58,59,651.1,151.4,99489.21,96187,120,3605,169,4567,0,1,140,170,19:01.1,3605,1
00:B0:52:FF:FF:02,326,59,60,651.5,151.5,103635,99489.21,150,3755,180,4747,0,1,140,170,19:01.1,3755,1
00:B0:52:FF:FF:02,326,60,61,652.1,152,106958.9,103635,120,3875,168,4915,0,1,140,170,19:01.1,3875,1
00:B0:52:FF:FF:02,326,61,62,652.5,151.5,110257.1,106958.9,120,3995,158,5073,0,1,140,170,19:01.1,3995,1
00:B0:52:FF:FF:02,326,62,63,652.8,151.6,114410.7,110257.1,150,4145,165,5238,0,1,140,170,19:01.1,4145,1
00:B0:52:FF:FF:02,326,63,64,653.2,151.8,117739.5,114410.7,120,4265,173,5411,0,1,140,170,19:01.1,4265,1
00:B0:52:FF:FF:02,326,64,65,653.6,151.6,121869.7,117739.5,150,4415,163,5574,0,1,140,170,19:01.1,4415,1
00:B0:52:FF:FF:02,326,65,66,653.4,151,125196.4,121869.7,120,4535,158,5732,0,1,140,170,19:01.1,4535,1
00:B0:52:FF:FF:02,326,66,67,653.8,151.5,129343.3,125196.4,150,4685,156,5888,0,1,140,170,19:01.1,4685,1
00:B0:52:FF:FF:02,326,67,68,654.2,151.2,132637.7,129343.3,120,4805,142,6030,0,1,140,170,19:01.1,4805,1
00:B0:52:FF:FF:02,326,68,69,654.2,150.7,136784.7,132637.7,150,4955,142,6172,0,1,140,170,19:01.1,4955,1
00:B0:52:FF:FF:02,326,69,70,654.4,150.8,140107.8,136784.7,120,5075,141,6313,0,1,140,170,19:01.1,5075,1
00:B0:52:FF:FF:02,326,70,71,654.4,151.1,143405.2,140107.8,120,5195,146,6459,0,1,140,170,19:01.1,5195,1
00:B0:52:FF:FF:02,326,71,72,654.4,151.2,147552.2,143405.2,150,5345,130,6589,0,1,140,170,19:01.1,5345,1
00:B0:52:FF:FF:02,326,72,73,654.4,150.8,150876,147552.2,120,5465,142,6731,0,1,140,170,19:01.1,5465,1
00:B0:52:FF:FF:02,326,73,74,654.6,151,154174.5,150876,120,5585,125,6856,0,1,140,170,19:01.1,5585,1
00:B0:52:FF:FF:02,326,74,75,654.6,151.2,158323.9,154174.5,151,5736,136,6992,0,1,140,170,19:01.1,5736,1
00:B0:52:FF:FF:02,326,75,76,654.6,150.7,161649.1,158323.9,120,5856,124,7116,0,1,140,170,19:01.1,5856,1
00:B0:52:FF:FF:02,326,76,77,654.6,151,164946.7,161649.1,120,5976,129,7245,0,1,140,170,19:01.1,5976,1
00:B0:52:FF:FF:02,326,77,78,654.6,150.6,169096.1,164946.7,150,6126,142,7387,0,1,140,170,19:01.1,6126,1
00:B0:52:FF:FF:02,326,78,79,654.8,151.1,172421.7,169096.1,120,6246,121,7508,0,1,140,170,19:01.1,6246,1
00:B0:52:FF:FF:02,326,79,80,655,150.8,176573.5,172421.7,150,6396,130,7638,0,1,140,170,19:01.1,6396,1
00:B0:52:FF:FF:02,326,80,81,655,150.7,179872.8,176573.5,120,6516,130,7768,0,1,140,170,19:01.1,6516,1
00:B0:52:FF:FF:02,326,81,82,655,151.2,183199.2,179872.8,120,6636,121,7889,0,1,140,170,19:01.1,6636,1
00:B0:52:FF:FF:02,326,82,83,655.3,151.2,187350.4,183199.2,150,6786,112,8001,0,1,140,170,19:01.1,6786,1
00:B0:52:FF:FF:02,326,83,84,655.3,151.4,190652.2,187350.4,120,6906,120,8121,0,1,140,170,19:01.1,6906,1
00:B0:52:FF:FF:02,326,84,85,655.5,151.1,194807.8,190652.2,150,7056,120,8241,0,1,140,170,19:01.1,7056,1
